bidder_email,seller_email,listing_id
arubertelli0@lsu.edu,wspadelli8j@lsu.edu,747
arubertelli0@lsu.edu,wspadelli8j@lsu.edu,2513
arubertelli0@lsu.edu,dnaughton9f@lsu.edu,741
tdoveston1@lsu.edu,dnaughton9f@lsu.edu,2505
tdoveston1@lsu.edu,amaccathayam@lsu.edu,786
tdoveston1@lsu.edu,dbarrowcloughlz@lsu.edu,810
alemar2@lsu.edu,lsekulla8w@lsu.edu,849
alemar2@lsu.edu,srubinivitzlu@lsu.edu,870
alemar2@lsu.edu,rscampm5@lsu.edu,885
igetley3@lsu.edu,onewlindl@lsu.edu,909
igetley3@lsu.edu,vcawr7@lsu.edu,915
igetley3@lsu.edu,fthunder1p@webs.com,1065
fenrrico4@lsu.edu,eovenden5y@lsu.edu,1125
fenrrico4@lsu.edu,lthornberbk@lsu.edu,1146
fenrrico4@lsu.edu,clelievre1q@spiegel.de,1401
eedgell5@lsu.edu,amaccathayam@lsu.edu,2565
eedgell5@lsu.edu,dbarrowcloughlz@lsu.edu,2597
eedgell5@lsu.edu,acazindy@lsu.edu,2
fbehling6@lsu.edu,dbraffington7n@lsu.edu,31
fbehling6@lsu.edu,ebromagei6@lsu.edu,44
fbehling6@lsu.edu,rvanderhoeven9h@lsu.edu,61
dcavilla7@lsu.edu,cmabbsdt@lsu.edu,102
dcavilla7@lsu.edu,dgoodenoughgs@lsu.edu,104
dcavilla7@lsu.edu,tpollock7j@lsu.edu,113
dsinkinson8@lsu.edu,tandino92@lsu.edu,154
dsinkinson8@lsu.edu,mtuxell5t@lsu.edu,229
dsinkinson8@lsu.edu,dbrinkworth7i@lsu.edu,263
esaltrese9@lsu.edu,hreavellhk@lsu.edu,294
esaltrese9@lsu.edu,belfordb@yahoo.co.jp,589
esaltrese9@lsu.edu,hmccurts@vinaora.com,855
rgurnera@lsu.edu,selliker1v@ibm.com,900
rgurnera@lsu.edu,ccolteneh@lsu.edu,1080
rgurnera@lsu.edu,oflahiveif@lsu.edu,1221
dvolettb@lsu.edu,hreavellhk@lsu.edu,1242
dvolettb@lsu.edu,bdenevehs@lsu.edu,1272
dvolettb@lsu.edu,jtestro45@lsu.edu,1332
dmcguggyc@lsu.edu,dbrinkworth7i@lsu.edu,1725
dmcguggyc@lsu.edu,dgoodenoughgs@lsu.edu,1833
dmcguggyc@lsu.edu,cmabbsdt@lsu.edu,1993
agirodond@lsu.edu,dbraffington7n@lsu.edu,2005
agirodond@lsu.edu,tandino92@lsu.edu,2049
agirodond@lsu.edu,belfordb@yahoo.co.jp,2141
wvanellie@lsu.edu,rvanderhoeven9h@lsu.edu,2213
wvanellie@lsu.edu,ebromagei6@lsu.edu,2265
wvanellie@lsu.edu,mtuxell5t@lsu.edu,2269
ctowllf@lsu.edu,hreavellhk@lsu.edu,2313
ctowllf@lsu.edu,tpollock7j@lsu.edu,2401
ctowllf@lsu.edu,acazindy@lsu.edu,2417
ageillg@lsu.edu,cosgar8u@lsu.edu,777
ageillg@lsu.edu,cosgar8u@lsu.edu,2553
ageillg@lsu.edu,jwooderson5q@lsu.edu,19
